nk	sk
이젠 끝인가요?	정말 끝인가요?
그러나 이제 그 녀자의 아름다움, 우아성, 이런것은 그를 실망케 하는 요소였다.	하지만 이제 그녀의 아름다움과 우아함은 그를 짜증나게 하는 요소였다.
그는 잠시 주저하다가 고개를 숙였다.	그는 여기서 잠시 망설이며 고개를 숙였다.
그래서 나는 그를 따라갔다. 그러나 유감스럽게도 남자들이나 젊은이들은 나무를 오르는 원숭이들에 비하면 나무에서 뛰여나지 못하는것 같았다.	나는 그를 이 지점까지 따라갔지만, 안타깝게도 남자들이나 심지어 젊은이들도 나무를 오르는 데 있어 원숭이에 비해 매우 열등하다.
그래, 내가 너의 편에 설 때까지는 그렇겠지. 하지만 너의 편에 설 때나 내가 너의 편에 설 때나 너의 편에 설 때만은 그렇게 하지 않겠다고 하지 않았던가.	그래, 네 편안함에 내가 필요할 때까지는; 하지만 네가 나 없이 집을 떠나기 위해 나에게 떠나라고 재촉했을 때는 그렇게 말하지 않았잖아, 나는 반박했다.
도적이다. 도적이 먹을것과 훔칠수 있는것, 당신과 나, 지나가는 누구든지 다 가지고있다.	도둑은 또한 대포를 위한 음식과 훔칠 수 있는 것들, 당신, 나, 지나가는 누구든지 가지고 있다.
우리같은 경우에는.	우리의 경우에는.
그는 층계를 뛰여올라와 벽에 부딪히면서 튕겨나갔다.	그는 스케이트를 신고 계단을 뛰어내리며 부딪히고 튕기면서 달려갔다.
쥴리앙은 막강한 권력에 너무나 익숙해져서 두려웠지만 이제 그는 황제에게 부여된 모집의 최고사령관으로서의 권능을 가지고있다.	그는 무한한 권력에 너무 익숙해져서 무섭고, 이제 그는 황제에 의해 부여된 모집의 최고 사령관으로서의 권한을 가지고 있다.
그 녀자의 눈은 곧 책장이 놓여있던 곳으로 옮겨갔고 그 아래쪽에는 성경이나 다른 책들이 놓여있는 자그마한 책상만이 남아있었다.	그녀의 눈은 즉시 그에게서 책장이 걸려 있던 곳으로 옮겨졌고, 이제는 벽에 남아 있는 직사각형의 바랜 자국과 그 아래에 성경과 몇 권의 다른 책이 놓인 작은 테이블만이 남아 있었다.
알료샤를 만난것을 기뻐하는 표도르 파블로비치가 큰소리로 웨쳤다.	알료샤를 보게 되어 매우 기뻐한 표도르 파블로비치가 외쳤다.
그 회의는 윌이 당황해하고 도로시아가 침착해하던 로마에서의 첫 회의와는 판판 달랐다.	그 회의는 윌이 당황하고 도로시아가 차분했던 로마에서의 첫 번째 회의와는 매우 달랐다.
살갗이 붉은것으로 싸여있었고 거기서 흘러나온 액체는 코까지 푸른 비늘로 응고되였으며 검은 코구멍이 경련적으로 고동치는 냄새를 맡았다.	살이 붉은 조각으로 늘어져 있었고, 그곳에서 흘러나온 액체는 코까지 녹색 비늘로 응고되었으며, 검은 콧구멍이 경련하듯 냄새를 맡고 있었다.
그는 니콜라스가 입맞춘 자리를 가리키면서 단호한 어조로 말하였다.	그녀는 니콜라스가 입맞춤을 놓은 자리를 가리키며 단호한 제스처로 명령했다.
마음을 푹 놓으시오.	마음을 편히 가져.
너희는 이제 와야 한다. 무거운 말과 더 무거운 짐을 가지고 와야 한다.	너희는 와야 하며, 무거운 말과 더 무거운 행동을 가져와야 한다.
나는 역을 나갔다.	나는 역을 나갔다.
마지막을 구하는게 좋아.	마지막을 구하게 해줘.
그래 내가 어디서 끊었소?	기다려, 내가 어디서 끊었지?
그는 의자등받이에 몸을 기대고 몸을 굽혔다.	그는 의자 등받이에 몸을 단단히 기대고 팔꿈치를 움켜잡았다.
디아볼로공작이 말했다.	디아볼로! 공작이 말했다.
이것이면 여섯실링쯤이면 충분하지 않을가?	이것들에 여섯 실링이 한 쌍이면 충분할까?
그가 올 때 그들에 대해서 이야기해줄수 있을것이다.	그가 올 때 그들에 대해 이야기해 줄 것이다.
만일 당신이 알게 된다면 지금 내가 느끼고있는것보다는 더 큰것을 느끼게 될거예요.	당신이 알게 되면, 지금 느끼고 있는 그대로 가장해야 할 것입니다.
그러나 그가 급히 달려오는것과는 달리 그가 뿜어낸것은 고통의 이슬이 아니라 질식할듯한 고통의 습기였다. 그의 얼굴은 창백하였고 그의 말은 거칠게 들렸으며 그의 목소리는 거칠게 울리였다.	그러나 그가 급히 오는 것과는 달리, 그가 닦아낸 것은 힘든 노력의 이슬이 아니라 어떤 질식하는 고통의 습기였으며, 그의 얼굴은 창백하고 그가 말을 할 때 목소리는 거칠고 부서져 있었다.
그들은 그런것을 없애버리지 않을것이며 그렇지 않으면 나는 지금 상태를 유지하는데 찬성할것이다.	그들은 그것을 없애지 않을 것이고, 그렇지 않으면 나는 현 상태를 유지하는 것에 찬성할 것이다.
까지미르는 머리를 다소곳이 숙여보이기는 했으나 한마디도 입밖에 내지 않았다.	카지미르는 감독에게 짧게 고개를 끄덕였지만, 한 마디도 하지 않았다.
클라크소가 물속의 눈송이처럼 물속에 잠겼을가?	클라크소가 물속의 눈송이처럼 그림자 속으로 녹아들었을까?
군중은 황제를 따라갔고 그를 따라 궁전까지 갔으며 흩어지기 시작하였다.	군중은 황제를 쫓아갔고, 그를 따라 궁전까지 갔으며, 흩어지기 시작했다.
이제 알겠지, 나의 어린 친구여, 나는 단순한 아마추어들이 이런짓을 하잖는다는것을 알고있소.	이제 알겠지, 내 어린 친구여, 나는 단순한 아마추어들이 이런 종류의 행동을 허용하지 않아.
내가 그의 눈을 마주칠 때마다 그의 얼굴표정은 그가 나를 몹시 싫어한다는것을 상기시켜주었으며 내가 그 애에게서 알게 된 사실도 상기시켜주었기때문이였다.	내가 동생의 눈을 자주 마주칠 때마다, 그의 표정은 그가 나를 깊이 싫어한다는 것을 상기시켰고, 그 이유는 내가 그 소년에게서 알게 된 것을 알고 있었기 때문이다.
댕글라르씨는 얼굴이 파랗게 질린채 말하였다. 당신은 정말 무례한 말을 하고있소!	오, 댕글라르가 매우 창백해지며 말했다, 당신은 얼마나 쏜살같이 말을 하는군요!
어서 빨리들 오너라!	서둘러, 너희들!
나의 좋은 벗, 브룩씨가 말하였다.	다글리, 내 좋은 친구여, 브룩 씨가 말했다.
멀지 않은곳에 경찰관이 있었는데 그는 황소눈을 뜨고 나에게 다가오고있었다.	멀지 않은 곳에 경찰관이 있었고, 그는 그의 황소 눈을 열고 다가오고 있었다.
필립, 나의 헛소리를 실제에 적용하다니 너답지 않구만. 마틸드는 상처라도 입은듯한 얼굴로 말하였다.	필립, 내 헛소리를 실제에 적용하다니 너답지 않네, 마기가 상처받은 듯한 표정으로 말했다.
당신은 산을 옮길수 있는 사람이 두사람이나 있다고 생각하시나요?	그러니까 당신은 산을 옮길 수 있는 사람이 두 명 있다고 생각하는군요?
아니예요, 선생님, 저는 갈수 없어요.	아니요, 선생님, 불가능합니다; 저는 더 이상 갈 수 없습니다.
라스콜니꼬프는 그의 숙소로 가버렸다.	라스콜니코프는 그의 숙소로 갔고, 서둘렀다.
이따금 창문이나 종탑에서 뛰여내리려는 유혹을 받는다.	때때로 남자는 창문이나 종탑에서 뛰어내리고 싶은 유혹을 느낀다.
